Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2020,Public Safety,Police,Patrol,P465-135,Police Officer,95072.00
2020,Human Resources and Development,Veterans' Services,Administration & Benefits,M312-701,Project Administrator/Veterans,47480.00
2020,Human Resources and Development,Veterans' Services,Administration & Benefits,M251-001,Manager/Vet Benefits & Svs,67290.00
2020,Human Resources and Development,Veterans' Services,Administration & Benefits,O075-001,Director/Veterans Services,103479.00
2020,Human Resources and Development,Veterans' Services,Administration & Benefits,C091-001,Admin Asst/Veterans,35446.00
2020,Human Resources and Development,Library,Main Library,M409-701,Systems Coordinator/Library,106088.00
2020,Human Resources and Development,Library,Main Library,L412-736,Staff Librarian,59432.00
2020,Human Resources and Development,Library,Main Library,L412-735,Staff Librarian,62969.00
2020,Human Resources and Development,Library,Main Library,L412-734,Staff Librarian,60909.00
2020,Human Resources and Development,Library,Main Library,L412-731,Staff Librarian,62969.00
2020,Human Resources and Development,Library,Main Library,L412-725,Staff Librarian,61476.00
2020,Human Resources and Development,Library,Main Library,L412-724,Staff Librarian,62969.00
2020,Human Resources and Development,Library,Main Library,L412-721,Staff Librarian,61625.00
2020,Human Resources and Development,Library,Main Library,L412-715,Staff Librarian,62969.00
2020,Human Resources and Development,Library,Main Library,L412-714,Staff Librarian,58903.00
2020,Human Resources and Development,Library,Main Library,L412-704,Staff Librarian,59825.00
2020,Human Resources and Development,Library,Main Library,C720-001,Sr Building Custodian,59487.00
2020,Human Resources and Development,Library,Main Library,C720-001,Sr Building Custodian,59487.00
2020,Human Resources and Development,Library,Main Library,L432-702,Senior Technician,62903.00
2020,Human Resources and Development,Library,Main Library,L408-711,Senior Librarian,70533.00
2020,Human Resources and Development,Library,Main Library,L408-711,Senior Librarian,47022.00
2020,Human Resources and Development,Library,Main Library,L408-710,Senior Librarian,70533.00
2020,Human Resources and Development,Library,Main Library,L408-709,Senior Librarian,70478.00
2020,Human Resources and Development,Library,Main Library,L408-707,Senior Librarian,70533.00
2020,Human Resources and Development,Library,Main Library,L408-706,Senior Librarian,70533.00
2020,Human Resources and Development,Library,Main Library,L408-703,Senior Librarian,67226.00
2020,Human Resources and Development,Library,Main Library,L408-702,Senior Librarian,70533.00
2020,Human Resources and Development,Library,Main Library,M267-701,Program And Event Coordinator,70723.00
2020,Human Resources and Development,Library,Main Library,M401-701,"Mgr of Library Comm.,Prg&Event",84376.00
2020,Human Resources and Development,Library,Main Library,M227-701,Mgr of Innovation & Technology,121062.00
2020,Human Resources and Development,Library,Main Library,M416-701,Manager/Borrower Services,89086.00
2020,Human Resources and Development,Library,Main Library,M218-701,Manager of Library STEAM Prog.,75956.00
2020,Human Resources and Development,Library,Main Library,M405-701,Manager of Finance and Oper.,100895.00
2020,Human Resources and Development,Library,Main Library,M402-701,Manager of Collection Svcs,93825.00
2020,Human Resources and Development,Library,Main Library,M417-701,Manager of Adult Services,88778.00
2020,Human Resources and Development,Library,Main Library,L422-742,Library Clerk,43720.00
2020,Human Resources and Development,Library,Main Library,L422-739,Library Clerk,14680.00
2020,Human Resources and Development,Library,Main Library,L422-738,Library Clerk,14680.00
2020,Human Resources and Development,Library,Main Library,L422-737,Library Clerk,33264.00
2020,Human Resources and Development,Library,Main Library,L422-736,Library Clerk,39185.00
2020,Human Resources and Development,Library,Main Library,L422-735,Library Clerk,43326.00
2020,Human Resources and Development,Library,Main Library,L422-733,Library Clerk,18979.00
2020,Human Resources and Development,Library,Main Library,L422-729,Library Clerk,15003.00
2020,Human Resources and Development,Library,Main Library,L422-727,Library Clerk,17488.00
2020,Human Resources and Development,Library,Main Library,L422-725,Library Clerk,17488.00
2020,Human Resources and Development,Library,Main Library,L422-722,Library Clerk,15580.00
2020,Human Resources and Development,Library,Main Library,L422-720,Library Clerk,15705.00
2020,Human Resources and Development,Library,Main Library,L422-719,Library Clerk,18197.00
2020,Human Resources and Development,Library,Main Library,L422-718,Library Clerk,17488.00
2020,Human Resources and Development,Library,Main Library,L422-717,Library Clerk,18213.00
2020,Human Resources and Development,Library,Main Library,L422-715,Library Clerk,18031.00
2020,Human Resources and Development,Library,Main Library,L422-712,Library Clerk,23317.00
2020,Human Resources and Development,Library,Main Library,L422-708,Library Clerk,17488.00
2020,Human Resources and Development,Library,Main Library,L422-706,Library Clerk,18213.00
2020,Human Resources and Development,Library,Main Library,L422-704,Library Clerk,34976.00
2020,Human Resources and Development,Library,Main Library,L431-727,Library Associate,51293.00
2020,Human Resources and Development,Library,Main Library,L431-726,Library Associate,51515.00
2020,Human Resources and Development,Library,Main Library,L431-711,Library Associate,50690.00
2020,Human Resources and Development,Library,Main Library,L431-706,Library Associate,21835.00
